timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 19:15:46,LSTM_kswin,linear_gradual_drift_9,,0.0261571369741885,0.0011232841583692,0.0335154316452767,13,1.8412563800811768,0.1416351061600905,10,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",10,3,v13,13,3,10,0,0.2307692307692307,1.0,0.375,44.333333333333336,23.20891785621643
2026-03-02 19:15:47,ELM_kswin,linear_gradual_drift_9,,0.0559748044029411,0.0101966007303307,0.1009782190887261,18,0.0126874446868896,0.0007048580381605,12,"['promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",12,6,v18,18,3,15,0,0.1666666666666666,1.0,0.2857142857142857,159.66666666666666,0.973708152770996
2026-03-02 19:25:04,PSO_LSTM_kswin,linear_gradual_drift_10,,0.0253410208900334,0.0010143056159413,0.0318481650325627,13,144.74884414672852,11.13452647282527,1,"['held', 'held', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held']",1,11,v3,13,2,11,1,0.1538461538461538,0.6666666666666666,0.25,47.0,171.12651538848877
2026-03-02 19:26:54,PSO_ELM_kswin,linear_gradual_drift_10,,0.0432944320596696,0.0068266949015619,0.0826238155834136,16,107.99957394599916,6.749973371624947,11,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",11,4,v13,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,42.5,109.234632730484
2026-03-02 19:27:14,LSTM_kswin,linear_gradual_drift_10,,0.0243548899415672,0.0009366511429536,0.0306047568680691,12,1.868669271469116,0.155722439289093,10,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held']",10,2,v11,12,2,10,1,0.1666666666666666,0.6666666666666666,0.2666666666666666,57.5,20.759138822555546
2026-03-02 19:27:16,ELM_kswin,linear_gradual_drift_10,,0.0469491982979959,0.005749564606398,0.0758258834857731,17,0.0118193626403808,0.0006952566259047,14,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",14,3,v17,17,2,15,1,0.1176470588235294,0.6666666666666666,0.2,-18.0,1.1118953227996826
2026-03-02 19:36:36,PSO_LSTM_kswin,linear_gradual_drift_11,,0.024569840168274,0.0010017868940665,0.0316510172674831,10,163.5840449333191,16.35840449333191,4,"['held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held']",4,6,v0,10,2,8,1,0.2,0.6666666666666666,0.3076923076923076,-93.5,191.1872215270996
2026-03-02 19:38:26,PSO_ELM_kswin,linear_gradual_drift_11,,0.0630587981313941,0.0388595355961286,0.1971282212067279,13,107.9047679901123,8.300366768470177,7,"['held', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held']",7,6,v0,13,3,10,0,0.2307692307692307,1.0,0.375,30.33333333333333,109.4358274936676
2026-03-02 19:38:48,LSTM_kswin,linear_gradual_drift_11,,0.0246295480892453,0.0010073465720691,0.0317387235419003,11,1.8032605648040767,0.1639327786185524,10,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",10,1,v11,11,2,9,1,0.1818181818181818,0.6666666666666666,0.2857142857142857,-16.5,22.438181161880493
2026-03-02 19:38:50,ELM_kswin,linear_gradual_drift_11,,0.04442964033352,0.0115124813823425,0.1072962319112023,13,0.0082502365112304,0.0006346335777869,11,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held']",11,2,v12,13,2,11,1,0.1538461538461538,0.6666666666666666,0.25,-11.0,1.693953275680542
2026-03-02 19:46:53,PSO_LSTM_kswin,linear_gradual_drift_12,,0.0539443408878186,0.0056473992650401,0.0751491800689809,18,222.6418204307556,12.368990023930868,12,"['promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held']",12,6,v0,18,3,15,0,0.1666666666666666,1.0,0.2857142857142857,-31.33333333333333,246.9271092414856
2026-03-02 19:47:40,PSO_ELM_kswin,linear_gradual_drift_12,,0.043479952713832,0.0049071118906376,0.0700507807996286,18,45.76186847686768,2.5423260264926486,12,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted']",12,6,v18,18,3,15,0,0.1666666666666666,1.0,0.2857142857142857,0.3333333333333333,46.61536955833435
2026-03-02 19:48:00,LSTM_kswin,linear_gradual_drift_12,,0.0511647397619034,0.0046678405603811,0.0683215965883491,17,2.1961746215820312,0.1291867424460018,11,"['held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted']",11,6,v17,17,3,14,0,0.1764705882352941,1.0,0.3,5.0,19.85808086395264
2026-03-02 19:48:01,ELM_kswin,linear_gradual_drift_12,,0.0824455904028242,0.1532506696835731,0.3914724379615673,15,0.0113215446472167,0.0007547696431477,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",13,2,v15,15,3,12,0,0.2,1.0,0.3333333333333333,53.0,1.427891492843628
